values,ind
AC020911.2,TREG
AC021028.1,TREG
AC027031.2,TREG
AC078883.1,TREG
AC090204.1,TREG
AC093157.1,TREG
AC093249.6,TREG
AC097534.2,TREG
AC103724.3,TREG
AC119396.1,TREG
AC124312.1,TREG
AC133644.2,TREG
AC136475.1,TREG
AC139720.1,TREG
AC147067.1,TREG
ACSM3,TREG
ADAMTS6,TREG
AEBP1,TREG
AES,TREG
AFF3,TREG
AIF1,TREG
AK5,TREG
AMIGO1,TREG
ANKRD31,TREG
ANXA1,TREG
ANXA2R,TREG
APBA2,TREG
APBB1,TREG
APP,TREG
ARHGAP5,TREG
ATG9B,TREG
ATP10A,TREG
BACH2,TREG
BEND5,TREG
C11orf21,TREG
C11orf74,TREG
C12orf42,TREG
C16orf74,TREG
C1orf162,TREG
C9orf72,TREG
CACNA1C-AS1,TREG
CAMK1D,TREG
CAMK4,TREG
CASP10,TREG
CCDC112,TREG
CCDC65,TREG
CCDC88A,TREG
CCR7,TREG
CCR9,TREG
CD55,TREG
CD8B,TREG
CD9,TREG
CEACAM4,TREG
CENPV,TREG
CITED4,TREG
CNKSR2,TREG
CRIP2,TREG
CSGALNACT1,TREG
CTSW,TREG
DBNDD1,TREG
DGKD,TREG
DHRS3,TREG
DNAAF4,TREG
DNAJB1,TREG
DPP4,TREG
EFNA1,TREG
EIF4EBP3,TREG
EMP3,TREG
EPHA1,TREG
F2RL1,TREG
FAM117B,TREG
FAM13A,TREG
FAM19A2,TREG
FAM213A,TREG
FAM234A,TREG
FAM84B,TREG
FBXL22,TREG
FCER1G,TREG
FCRL3,TREG
FLOT1,TREG
FXYD2,TREG
FXYD7,TREG
GAL3ST4,TREG
GCNT4,TREG
GJB6,TREG
GPA33,TREG
GPC2,TREG
GPR132,TREG
GPR146,TREG
GPR171,TREG
GPR55,TREG
GPRASP1,TREG
GSAP,TREG
GSDMA,TREG
GSTM3,TREG
GTSCR1,TREG
HAVCR1,TREG
HEMGN,TREG
HVCN1,TREG
IER2,TREG
IER3,TREG
IFITM3,TREG
IFNGR2,TREG
IGF1R,TREG
IMMP2L,TREG
ISYNA1,TREG
ITGA5,TREG
ITGA6,TREG
ITGB7,TREG
JUNB,TREG
KLF2,TREG
KLF3,TREG
KLF7,TREG
LAIR1,TREG
LDLRAP1,TREG
LEF1,TREG
LINC00402,TREG
LINC00957,TREG
LINC01215,TREG
LINC01336,TREG
LINC01891,TREG
LINC02256,TREG
LINC02273,TREG
LINC02295,TREG
LMO7,TREG
LPAR6,TREG
LYPD3,TREG
MAML2,TREG
MATK,TREG
MDS2,TREG
METAP1D,TREG
MHENCR,TREG
MORC2,TREG
MPP6,TREG
MPP7,TREG
MYADM,TREG
MYB,TREG
MYC,TREG
MYO15B,TREG
NDRG2,TREG
NME4,TREG
NOG,TREG
NREP,TREG
NRIP1,TREG
OXR1,TREG
PADI4,TREG
PCAT1,TREG
PDCD4-AS1,TREG
PDE3B,TREG
PDK1,TREG
PECAM1,TREG
PI16,TREG
PLAC8,TREG
PM20D2,TREG
PNPLA7,TREG
PPM1N,TREG
PRKAG2-AS1,TREG
PSTPIP2,TREG
PTGER2,TREG
PXYLP1,TREG
RAB34,TREG
RAP1GAP2,TREG
RASA3,TREG
RASA4B,TREG
RASGRF2,TREG
RASGRP2,TREG
RASSF3,TREG
RBMS3,TREG
RGCC,TREG
RGS12,TREG
RGS16,TREG
RIPOR2,TREG
RNF130,TREG
RNF144A,TREG
RNF175,TREG
ROBO3,TREG
RPS12,TREG
RPS21,TREG
S1PR1,TREG
SAMD3,TREG
SBF2,TREG
SCML1,TREG
SCML4,TREG
SELL,TREG
SERPINB6,TREG
SESN1,TREG
SESTD1,TREG
SHISAL2A,TREG
SLC12A7,TREG
SLC16A10,TREG
SLCO3A1,TREG
SMAGP,TREG
SMIM14,TREG
SNHG22,TREG
SNHG25,TREG
SNTB1,TREG
SOCS2,TREG
SORBS3,TREG
SORL1,TREG
SPART,TREG
SPINK2,TREG
SPRY1,TREG
STK38,TREG
STRADB,TREG
SULT1B1,TREG
SUSD4,TREG
SVIL,TREG
SWAP70,TREG
TAF4B,TREG
TCEA3,TREG
TCF7,TREG
TFAP4,TREG
TJP3,TREG
TKTL1,TREG
TLR5,TREG
TMEM38B,TREG
TMEM63A,TREG
TNFRSF13C,TREG
TNK1,TREG
TRABD2A,TREG
TSPAN4,TREG
TTC7B,TREG
TXK,TREG
UBE2E2,TREG
UNC45B,TREG
VIPR1,TREG
VNN2,TREG
VSIG1,TREG
ZBTB10,TREG
ZNF10,TREG
ZNF485,TREG
ZNF595,TREG
ZNF667-AS1,TREG
ZNF69,TREG
ZSCAN18,TREG
AC004585.1,TFR
AC017002.1,TFR
AC022239.1,TFR
AC104971.3,TFR
AIM2,TFR
AKAP5,TFR
AL109914.1,TFR
AL121820.1,TFR
AL121985.1,TFR
AL158850.1,TFR
AL359834.1,TFR
AL606807.1,TFR
ANK1,TFR
ANKRD35,TFR
ANKS1B,TFR
AP003716.1,TFR
ASB2,TFR
ASCL2,TFR
ASPM,TFR
AURKB,TFR
AUTS2,TFR
BIRC5,TFR
BLM,TFR
BUB1,TFR
C2CD4A,TFR
CCL20,TFR
CCNA2,TFR
CCNB2,TFR
CDC20,TFR
CDC45,TFR
CDCA5,TFR
CDK1,TFR
CDKL2,TFR
CDKN2A,TFR
CEBPA,TFR
CENPA,TFR
CENPF,TFR
CHI3L2,TFR
CKAP2L,TFR
CKLF,TFR
CKLF-CMTM1,TFR
CLEC7A,TFR
CLSPN,TFR
COL5A1,TFR
COL5A3,TFR
CPNE7,TFR
CXCR5,TFR
CYP7B1,TFR
DLGAP5,TFR
DRAIC,TFR
DSCC1,TFR
DTHD1,TFR
EFNB2,TFR
EPHB1,TFR
ESCO2,TFR
ETV7,TFR
EVC2,TFR
FAM111B,TFR
FAM174B,TFR
FOXB1,TFR
FRMD4A,TFR
FSCN1,TFR
FURIN,TFR
GADD45G,TFR
GPR25,TFR
GPR34,TFR
GTSE1,TFR
HEYL,TFR
HIST1H3B,TFR
HJURP,TFR
HMMR,TFR
ICA1,TFR
IGHD,TFR
IGHM,TFR
IGHV1-3,TFR
IGKV3OR2-268,TFR
IL10,TFR
IL1R1,TFR
IL1R2,TFR
IL26,TFR
IL4I1,TFR
INAFM2,TFR
INPP1,TFR
IRS1,TFR
JDP2,TFR
KCNK1,TFR
KCNK15,TFR
KIAA1671,TFR
KIF23,TFR
KIF2C,TFR
KIFC1,TFR
KLRB1,TFR
LAG3,TFR
LGMN,TFR
LHFPL2,TFR
LINC00880,TFR
LINC00944,TFR
LINC01160,TFR
LINC01229,TFR
LRP12,TFR
MAF,TFR
MAFTRR,TFR
MBOAT1,TFR
MCM10,TFR
MKI67,TFR
MND1,TFR
MYBL2,TFR
MYH10,TFR
MYO6,TFR
NEIL3,TFR
NSG1,TFR
NUSAP1,TFR
OTUB2,TFR
P2RY11,TFR
PALLD,TFR
PASK,TFR
PCDH1,TFR
PKHD1,TFR
PKMYT1,TFR
PLAT,TFR
PLEK,TFR
PLK1,TFR
PLXND1,TFR
POU2AF1,TFR
POU3F1,TFR
PTMS,TFR
PTPN13,TFR
PTPRM,TFR
RAD51AP1,TFR
RAI2,TFR
RASL11A,TFR
RGS6,TFR
RGS9,TFR
RHOV,TFR
RRM2,TFR
SCGB3A1,TFR
SH3TC1,TFR
SLC31A2,TFR
SLC41A2,TFR
SLC7A10,TFR
SLC7A8,TFR
SMCO4,TFR
SPC24,TFR
SPC25,TFR
TBXAS1,TFR
TK1,TFR
TMCC3,TFR
TNIP3,TFR
TNS3,TFR
TOP2A,TFR
TOX2,TFR
TPX2,TFR
TSHR,TFR
TUBB4A,TFR
TXLNB,TFR
TYMS,TFR
UBE2C,TFR
UHRF1,TFR
VSTM4,TFR
WIPI1,TFR
ZNRF1,TFR
